product_name,store_name,stock_quantity,status
QuadroView RX 7800 XT,TechStore CDMX Centro,54,overstocked
QuadroView RX 7800 XT,TechStore Guadalajara,74,overstocked
QuadroView RX 7800 XT,TechStore Monterrey,69,overstocked
QuadroView RX 7800 XT,TechStore Bogotá,132,overstocked
QuadroView RX 7800 XT,TechStore Santiago,52,overstocked
QuadroView RX 7800 XT,TechStore Lima,129,overstocked
QuadroView RX 7800 XT,TechStore Buenos Aires,127,overstocked
QuadroView RX 7800 XT,TechStore Madrid,21,in_stock
QuadroView RX 7800 XT,TechStore Miami,123,overstocked
QuadroView RX 7800 XT,TechStore São Paulo,108,overstocked
TechPro Pro 15,TechStore CDMX Centro,5,low_stock
TechPro Pro 15,TechStore Guadalajara,37,in_stock
TechPro Pro 15,TechStore Monterrey,124,overstocked
TechPro Pro 15,TechStore Bogotá,156,overstocked
TechPro Pro 15,TechStore Santiago,170,overstocked
TechPro Pro 15,TechStore Lima,145,overstocked
TechPro Pro 15,TechStore Buenos Aires,177,overstocked
TechPro Pro 15,TechStore Madrid,48,in_stock
TechPro Pro 15,TechStore Miami,186,overstocked
TechPro Pro 15,TechStore São Paulo,92,overstocked
SlimForce EliteBook,TechStore CDMX Centro,26,in_stock
SlimForce EliteBook,TechStore Guadalajara,108,overstocked
SlimForce EliteBook,TechStore Monterrey,69,overstocked
SlimForce EliteBook,TechStore Bogotá,23,in_stock
SlimForce EliteBook,TechStore Santiago,50,in_stock
SlimForce EliteBook,TechStore Lima,23,in_stock
SlimForce EliteBook,TechStore Buenos Aires,118,overstocked
SlimForce EliteBook,TechStore Madrid,172,overstocked
SlimForce EliteBook,TechStore Miami,19,in_stock
SlimForce EliteBook,TechStore São Paulo,18,in_stock
MemoryPro 32GB DDR4 3200,TechStore CDMX Centro,22,in_stock
MemoryPro 32GB DDR4 3200,TechStore Guadalajara,130,overstocked
MemoryPro 32GB DDR4 3200,TechStore Monterrey,84,overstocked
MemoryPro 32GB DDR4 3200,TechStore Bogotá,180,overstocked
MemoryPro 32GB DDR4 3200,TechStore Santiago,171,overstocked
MemoryPro 32GB DDR4 3200,TechStore Lima,179,overstocked
MemoryPro 32GB DDR4 3200,TechStore Buenos Aires,81,overstocked
MemoryPro 32GB DDR4 3200,TechStore Madrid,177,overstocked
MemoryPro 32GB DDR4 3200,TechStore Miami,28,in_stock
MemoryPro 32GB DDR4 3200,TechStore São Paulo,75,overstocked
TitanX RTX 4070,TechStore CDMX Centro,168,overstocked
