id,order_id,product_id,quantity,unit_price,discount
1,1,45,2,1364.95,0
2,2,20,1,19.0,0
3,2,399,2,671.0,10
4,3,398,1,158.99,10
5,3,168,3,44.49,15
6,4,268,1,108.49,0
7,4,60,3,199.99,10
8,4,3,1,2990.49,10
9,5,457,1,228.49,0
10,5,108,1,1756.95,0
11,6,319,2,162.49,0
12,7,294,1,318.49,10
13,7,126,2,132.95,0
14,7,88,1,63.99,15
15,7,37,1,1368.95,0
16,8,354,2,1086.49,0
17,8,359,3,915.49,5
18,8,229,2,259.49,5
19,9,240,2,189.95,5
20,9,50,2,296.99,0
21,9,234,1,420.95,10
22,9,159,2,169.49,15
23,10,233,2,745.99,0
24,10,250,2,107.99,0
25,10,16,3,413.99,5
26,10,34,1,1341.95,0
27,11,206,1,106.95,5
28,11,303,2,241.49,15
29,12,291,1,139.49,5
30,12,404,1,1149.99,15
31,12,176,2,132.49,0
32,12,279,2,382.95,0
33,12,356,2,95.49,10
34,13,420,1,1205.95,5
35,13,195,1,190.0,0
36,14,232,1,1932.99,5
37,14,273,1,17.0,5
38,14,150,1,2972.95,5
39,15,46,5,1136.49,0
40,15,299,1,95.0,0
41,15,5,1,1921.95,5
42,15,314,1,81.49,5
43,16,360,2,290.99,5
44,17,72,1,933.99,0
45,18,9,1,1431.99,10
46,19,357,2,1955.49,0
47,19,310,1,1483.99,10
48,19,477,1,927.99,0
49,19,218,1,1549.99,0
50,20,296,2,250.49,0
51,20,188,2,258.49,15
52,20,18,1,2501.99,5
53,20,20,2,19.0,10
54,20,291,3,139.49,0
55,21,340,1,1083.99,5
56,21,492,3,67.49,0
57,21,343,1,209.99,0
58,22,181,5,240.99,0
59,22,492,1,67.49,5
60,23,297,1,1990.0,15
61,23,87,3,544.49,5
62,23,294,1,318.49,0
63,24,8,1,100.99,5
64,24,380,1,166.99,0
65,24,58,3,416.95,0
66,24,310,3,1483.99,0
67,25,429,3,302.49,0
68,25,254,1,508.99,5
69,25,386,1,184.0,5
70,25,212,1,399.99,5
71,26,383,3,1319.49,5
72,26,486,1,109.99,5
73,27,230,2,1457.49,15
74,27,196,1,351.95,5
75,27,348,1,1552.99,10
76,27,162,2,54.99,5
77,27,493,1,1361.99,0
78,28,124,2,66.99,0
79,28,376,1,35.95,5
80,28,345,1,732.49,5
81,29,180,1,1589.99,0
